"Session Number","Week","Module","Topic","Hours","Focus & Practical Scope","Materials Required","Practical Session Works","Merged Lab Activities","Included in Slides"
"31","W9","Module 3: Security & Building Automation","Biometric Systems","2 Hrs","[x] Slide 1: Title Slide - Biometric Systems
[x] Slide 2: Introduction to Biometric Systems
[x] Slide 3: Core Working Principles
[x] Slide 4: Hardware Components & Wiring
[x] Slide 5: Electrical Protections
[x] Slide 6: Software & Configuration Settings
[x] Slide 7: Safety Interlocks & Overrides
[x] Slide 8: Installation Guidelines
[x] Slide 9: Troubleshooting Workflows
[x] Slide 10: Lab Work: Biometric Systems Commissioning","- Standalone biometric reader
- RFID cards & network switch
- Laptop with management software","- Enroll fingerprints and faces on reader panel
- Configure network IP settings on reader
- Retrieve access database log onto laptop","[Access Control & Video Door Phone Setup]
Activities:
- VDP wiring integrations
- Access panel loop wirings
- EM locks bracket setups
Works:
- Connect outdoor call station to VDP monitor
- Wire access panel release relay to EM lock
- Register RFID cards & test access lock loop","TRUE"
"32","W9","Module 3: Security & Building Automation","Smart Locks","2 Hrs","[x] Slide 1: Title Slide - Smart Locks
[x] Slide 2: Introduction to Smart Locks
[x] Slide 3: Core Working Principles
[x] Slide 4: Hardware Components & Wiring
[x] Slide 5: Electrical Protections
[x] Slide 6: Software & Configuration Settings
[x] Slide 7: Safety Interlocks & Overrides
[x] Slide 8: Installation Guidelines
[x] Slide 9: Troubleshooting Workflows
[x] Slide 10: Lab Work: Smart Locks Commissioning","- EM lock & Drop-bolt lock
- L/Z mounting brackets
- 1N4007 flyback diode
- Screwdriver set","- Mount L/Z bracket to mock door frame
- Install EM lock on bracket plates
- Terminate flyback diode across lock terminals","[Access Control & Video Door Phone Setup]
Activities:
- VDP wiring integrations
- Access panel loop wirings
- EM locks bracket setups
Works:
- Connect outdoor call station to VDP monitor
- Wire access panel release relay to EM lock
- Register RFID cards & test access lock loop","TRUE"
"33","W9","Module 3: Security & Building Automation","Boom Barrier","2 Hrs","[x] Slide 1: Title Slide - Boom Barrier
[x] Slide 2: Introduction to Boom Barrier
[x] Slide 3: Core Working Principles
[x] Slide 4: Hardware Components & Wiring
[x] Slide 5: Electrical Protections
[x] Slide 6: Software & Configuration Settings
[x] Slide 7: Safety Interlocks & Overrides
[x] Slide 8: Installation Guidelines
[x] Slide 9: Troubleshooting Workflows
[x] Slide 10: Lab Work: Boom Barrier Commissioning","- Boom barrier gate unit
- Loop detector card
- Loop coil wire spool
- Safety photo-beams","- Wire loop detector card to barrier board
- Lay loop wire coil in test pattern on floor
- Test barrier safety auto-reverse using loop","[Gate Automation & Boom Barrier Setup]
Activities:
- Gear rack pinion alignments
- Loop coil floor layouts
- RF remote key pairings
Works:
- Align gear rack to sliding gate motor gears
- Wire loop detector card to barrier board
- Pair RF remote keyfob to receiver card","TRUE"
"34","W9","Module 3: Security & Building Automation","Gate Automation","2 Hrs","[x] Slide 1: Title Slide - Gate Automation
[x] Slide 2: Introduction to Gate Automation
[x] Slide 3: Core Working Principles
[x] Slide 4: Hardware Components & Wiring
[x] Slide 5: Electrical Protections
[x] Slide 6: Software & Configuration Settings
[x] Slide 7: Safety Interlocks & Overrides
[x] Slide 8: Installation Guidelines
[x] Slide 9: Troubleshooting Workflows
[x] Slide 10: Lab Work: Gate Automation Commissioning","- Sliding gate motor & gear rack
- Limit switch contacts
- Remote transmitter keyfobs","- Align gear rack to sliding motor pinion
- Wire magnetic limit switches to controller
- Pair RF remote keyfobs to receiver board","[Gate Automation & Boom Barrier Setup]
Activities:
- Gear rack pinion alignments
- Loop coil floor layouts
- RF remote key pairings
Works:
- Align gear rack to sliding gate motor gears
- Wire loop detector card to barrier board
- Pair RF remote keyfob to receiver card","TRUE"
"35","W10","Module 3: Security & Building Automation","Intruder Alarm Systems","3 Hrs","[x] Slide 1: Title Slide - Intruder Alarm Systems
[x] Slide 2: Introduction to Intruder Alarm Systems
[x] Slide 3: Core Working Principles
[x] Slide 4: Hardware Components & Wiring
[x] Slide 5: Electrical Protections
[x] Slide 6: Software & Configuration Settings
[x] Slide 7: Safety Interlocks & Overrides
[x] Slide 8: Installation Guidelines
[x] Slide 9: Troubleshooting Workflows
[x] Slide 10: Lab Work: Intruder Alarm Systems Commissioning","- Alarm panel unit
- PIR motion detector & door contacts
- EOL resistors & warning siren","- Wire PIR sensor to alarm panel zone terminals
- Connect EOL resistor to zone loop contact
- Configure panel arm profiles & trigger alarm","[Fire & Intruder Alarm Installation]
Activities:
- Conventional fire loop wirings
- Wireless sensor integrations
- Siren alarms trigger check
Works:
- Wire smoke detector in conventional loop
- Integrate wireless PIR to alarm panel zones
- Configure entry/exit delay zones & test siren","TRUE"
"36","W10","Module 3: Security & Building Automation","Fire Alarm Systems","4 Hrs","[x] Slide 1: Title Slide - Fire Alarm Systems
[x] Slide 2: Introduction to Fire Alarm Systems
[x] Slide 3: Core Working Principles
[x] Slide 4: Hardware Components & Wiring
[x] Slide 5: Electrical Protections
[x] Slide 6: Software & Configuration Settings
[x] Slide 7: Safety Interlocks & Overrides
[x] Slide 8: Installation Guidelines
[x] Slide 9: Troubleshooting Workflows
[x] Slide 10: Lab Work: Fire Alarm Systems Commissioning","- Conventional fire alarm panel
- Smoke detector & heat detector
- Fire hooter & EOL capacitor
- Test smoke aerosol spray","- Wire smoke detector in zone terminal loop
- Install EOL resistor on final zone terminal
- Test trigger using smoke aerosol spray","[Fire & Intruder Alarm Installation]
Activities:
- Conventional fire loop wirings
- Wireless sensor integrations
- Siren alarms trigger check
Works:
- Wire smoke detector in conventional loop
- Integrate wireless PIR to alarm panel zones
- Configure entry/exit delay zones & test siren","TRUE"
"37","W10","Module 3: Security & Building Automation","PA/BGM Systems","2 Hrs","[x] Slide 1: Title Slide - PA BGM Systems
[x] Slide 2: Introduction to PA BGM Systems
[x] Slide 3: Core Working Principles
[x] Slide 4: Hardware Components & Wiring
[x] Slide 5: Electrical Protections
[x] Slide 6: Software & Configuration Settings
[x] Slide 7: Safety Interlocks & Overrides
[x] Slide 8: Installation Guidelines
[x] Slide 9: Troubleshooting Workflows
[x] Slide 10: Lab Work: PA BGM Systems Commissioning","- 100V PA amplifier
- Ceiling speaker with LMT
- Paging microphone","- Connect ceiling speaker on 100V line tap
- Calculate speaker wattage match to amp load
- Test microphone voice override trigger","","TRUE"
"38","W11","Module 3: Security & Building Automation","Intercom Systems","2 Hrs","[x] Slide 1: Title Slide - Intercom Systems
[x] Slide 2: Introduction to Intercom Systems
[x] Slide 3: Core Working Principles
[x] Slide 4: Hardware Components & Wiring
[x] Slide 5: Electrical Protections
[x] Slide 6: Software & Configuration Settings
[x] Slide 7: Safety Interlocks & Overrides
[x] Slide 8: Installation Guidelines
[x] Slide 9: Troubleshooting Workflows
[x] Slide 10: Lab Work: Intercom Systems Commissioning","- Analog PABX unit (1x4)
- Analog phone instruments
- RJ11 cables & punch-down tool","- Terminate extension lines onto PABX board
- Configure extension call group settings
- Run extension call forwarding test drills","","TRUE"
"39","W11","Module 3: Security & Building Automation","Elevator Access Control","2 Hrs","[x] Slide 1: Title Slide - Elevator Access Control
[x] Slide 2: Introduction to Elevator Access Control
[x] Slide 3: Core Working Principles
[x] Slide 4: Hardware Components & Wiring
[x] Slide 5: Electrical Protections
[x] Slide 6: Software & Configuration Settings
[x] Slide 7: Safety Interlocks & Overrides
[x] Slide 8: Installation Guidelines
[x] Slide 9: Troubleshooting Workflows
[x] Slide 10: Lab Work: Elevator Access Control Commissioning","- Access controller
- 8-ch relay output board
- LED indicators & laptop","- Wire relay outputs to simulate elevator floor buttons
- Program access level restrictions in software
- Trigger fire input loop to release all relays","[Access Control & Video Door Phone Setup]
Activities:
- VDP wiring integrations
- Access panel loop wirings
- EM locks bracket setups
Works:
- Connect outdoor call station to VDP monitor
- Wire access panel release relay to EM lock
- Register RFID cards & test access lock loop","TRUE"
"40","W11","Module 3: Security & Building Automation","Visitor Management","2 Hrs","[x] Slide 1: Title Slide - Visitor Management
[x] Slide 2: Introduction to Visitor Management
[x] Slide 3: Core Working Principles
[x] Slide 4: Hardware Components & Wiring
[x] Slide 5: Electrical Protections
[x] Slide 6: Software & Configuration Settings
[x] Slide 7: Safety Interlocks & Overrides
[x] Slide 8: Installation Guidelines
[x] Slide 9: Troubleshooting Workflows
[x] Slide 10: Lab Work: Visitor Management Commissioning","- PC with visitor software
- Webcam & USB barcode scanner
- Thermal badge printer","- Install visitor management desktop client
- Configure webcam visitor photo capture
- Generate and print barcode visitor pass","[Access Control & Video Door Phone Setup]
Activities:
- VDP wiring integrations
- Access panel loop wirings
- EM locks bracket setups
Works:
- Connect outdoor call station to VDP monitor
- Wire access panel release relay to EM lock
- Register RFID cards & test access lock loop","TRUE"
"41","W11","Module 3: Security & Building Automation","Hotel Lock Systems","2 Hrs","[x] Slide 1: Title Slide - Hotel Lock Systems
[x] Slide 2: Introduction to Hotel Lock Systems
[x] Slide 3: Core Working Principles
[x] Slide 4: Hardware Components & Wiring
[x] Slide 5: Electrical Protections
[x] Slide 6: Software & Configuration Settings
[x] Slide 7: Safety Interlocks & Overrides
[x] Slide 8: Installation Guidelines
[x] Slide 9: Troubleshooting Workflows
[x] Slide 10: Lab Work: Hotel Lock Systems Commissioning","- Hotel lock unit & card encoder
- Mifare cards
- Energy saver room switch","- Encode check-in card using hotel software
- Verify card opens offline hotel door lock
- Test energy saver switch room power activation","[Access Control & Video Door Phone Setup]
Activities:
- VDP wiring integrations
- Access panel loop wirings
- EM locks bracket setups
Works:
- Connect outdoor call station to VDP monitor
- Wire access panel release relay to EM lock
- Register RFID cards & test access lock loop

[Troubleshooting Lab]
Activities:
- Bench loop diagnostics
- Multimeter voltage tests
- Fault repair verifications
Works:
- Check Phase-Earth voltage using test lamp
- Find short circuit fault inside junction box
- Resolve induced IP clashes on camera net","TRUE"
"42","W12","Module 3: Security & Building Automation","Parking Management","2 Hrs","[x] Slide 1: Title Slide - Parking Management
[x] Slide 2: Introduction to Parking Management
[x] Slide 3: Core Working Principles
[x] Slide 4: Hardware Components & Wiring
[x] Slide 5: Electrical Protections
[x] Slide 6: Software & Configuration Settings
[x] Slide 7: Safety Interlocks & Overrides
[x] Slide 8: Installation Guidelines
[x] Slide 9: Troubleshooting Workflows
[x] Slide 10: Lab Work: Parking Management Commissioning","- Ticket dispenser unit
- Loop coil wire spool
- Barrier gate cabinet
- Printer","- Wire ticket dispenser card to barrier board
- Simulate loop input to print parking ticket
- Test ticket barcode verification loop","[Gate Automation & Boom Barrier Setup]
Activities:
- Gear rack pinion alignments
- Loop coil floor layouts
- RF remote key pairings
Works:
- Align gear rack to sliding gate motor gears
- Wire loop detector card to barrier board
- Pair RF remote keyfob to receiver card","TRUE"
"43","W12","Module 3: Security & Building Automation","Basic Building Management Systems (BMS)","3 Hrs","[x] Slide 1: Title Slide - Basic BMS
[x] Slide 2: Introduction to Basic BMS
[x] Slide 3: Core Working Principles
[x] Slide 4: Hardware Components & Wiring
[x] Slide 5: Electrical Protections
[x] Slide 6: Software & Configuration Settings
[x] Slide 7: Safety Interlocks & Overrides
[x] Slide 8: Installation Guidelines
[x] Slide 9: Troubleshooting Workflows
[x] Slide 10: Lab Work: Basic BMS Commissioning","- DDC controller unit
- Temperature sensor probe
- Laptop with BMS software","- Terminate temp sensor to DDC analog input
- Calibrate sensor voltage scaling parameters
- Verify Modbus register map readouts on PC","","TRUE"
"44","W12","Module 4: Smart Home, IoT & Business","KNX Fundamentals","4 Hrs","[x] Slide 1: Title Slide - KNX Fundamentals
[x] Slide 2: Introduction to KNX Fundamentals
[x] Slide 3: Operational Concepts
[x] Slide 4: Hardware and Wiring Schematics
[x] Slide 5: Wireless and RF Coexistence
[x] Slide 6: Software Logic and API Setup
[x] Slide 7: Testing and Inspections
[x] Slide 8: Site Installation Standards
[x] Slide 9: Business and Client Handovers
[x] Slide 10: Lab Work: KNX Fundamentals Integration","- KNX power supply & choke
- KNX switch actuator module
- KNX wall switch panel
- Green bus wire & ETS laptop","- Wire KNX devices in standard bus loop
- Configure group addresses inside ETS software
- Program KNX switch to activate actuator light","[Villa Smart Home Installation]
Activities:
- Switches loops wiring
- HAOS hub installations
- Smart device integrations
Works:
- Wire switch board modules on wall board
- Install HAOS on Pi, integrate switch relay
- Configure Alexa voice routine triggers","TRUE"
"45","W12","Module 4: Smart Home, IoT & Business","Wi-Fi Smart Home","2 Hrs","[x] Slide 1: Title Slide - Wi-Fi Smart Home
[x] Slide 2: Introduction to Wi-Fi Smart Home
[x] Slide 3: Operational Concepts
[x] Slide 4: Hardware and Wiring Schematics
[x] Slide 5: Wireless and RF Coexistence
[x] Slide 6: Software Logic and API Setup
[x] Slide 7: Testing and Inspections
[x] Slide 8: Site Installation Standards
[x] Slide 9: Business and Client Handovers
[x] Slide 10: Lab Work: Wi-Fi Smart Home Integration","- Wi-Fi smart switch modules
- Tuya Zigbee hub gateway
- Smart plug socket & router","- Wire Tuya switch on test board setup
- Link smart switch to Tuya mobile application
- Configure voice linking to Google Assistant","[Villa Smart Home Installation]
Activities:
- Switches loops wiring
- HAOS hub installations
- Smart device integrations
Works:
- Wire switch board modules on wall board
- Install HAOS on Pi, integrate switch relay
- Configure Alexa voice routine triggers","TRUE"
"46","W13","Module 4: Smart Home, IoT & Business","Zigbee & Z-Wave","3 Hrs","[x] Slide 1: Title Slide - Zigbee & Z-Wave
[x] Slide 2: Introduction to Zigbee & Z-Wave
[x] Slide 3: Operational Concepts
[x] Slide 4: Hardware and Wiring Schematics
[x] Slide 5: Wireless and RF Coexistence
[x] Slide 6: Software Logic and API Setup
[x] Slide 7: Testing and Inspections
[x] Slide 8: Site Installation Standards
[x] Slide 9: Business and Client Handovers
[x] Slide 10: Lab Work: Zigbee & Z-Wave Integration","- Zigbee USB coordinator hub
- Zigbee motion sensor & bulbs
- Laptops","- Form a Zigbee mesh network via coordinator
- Add Zigbee motion sensor and smart bulb
- Test mesh self-healing by powering off router","[Villa Smart Home Installation]
Activities:
- Switches loops wiring
- HAOS hub installations
- Smart device integrations
Works:
- Wire switch board modules on wall board
- Install HAOS on Pi, integrate switch relay
- Configure Alexa voice routine triggers","TRUE"
"47","W13","Module 4: Smart Home, IoT & Business","Matter & Thread","2 Hrs","[x] Slide 1: Title Slide - Matter & Thread
[x] Slide 2: Introduction to Matter & Thread
[x] Slide 3: Operational Concepts
[x] Slide 4: Hardware and Wiring Schematics
[x] Slide 5: Wireless and RF Coexistence
[x] Slide 6: Software Logic and API Setup
[x] Slide 7: Testing and Inspections
[x] Slide 8: Site Installation Standards
[x] Slide 9: Business and Client Handovers
[x] Slide 10: Lab Work: Matter & Thread Integration","- Apple HomePod Mini (Thread)
- Matter smart plug module
- Phone","- Connect Thread plug to HomePod border router
- Pair device to Google Home using Matter code
- Test control from iOS and Android devices","[Villa Smart Home Installation]
Activities:
- Switches loops wiring
- HAOS hub installations
- Smart device integrations
Works:
- Wire switch board modules on wall board
- Install HAOS on Pi, integrate switch relay
- Configure Alexa voice routine triggers","TRUE"
"48","W13","Module 4: Smart Home, IoT & Business","Alexa & Google Home Integration","2 Hrs","[x] Slide 1: Title Slide - Alexa & Google Home Integration
[x] Slide 2: Introduction to Alexa & Google Home Integration
[x] Slide 3: Operational Concepts
[x] Slide 4: Hardware and Wiring Schematics
[x] Slide 5: Wireless and RF Coexistence
[x] Slide 6: Software Logic and API Setup
[x] Slide 7: Testing and Inspections
[x] Slide 8: Site Installation Standards
[x] Slide 9: Business and Client Handovers
[x] Slide 10: Lab Work: Alexa & Google Home Integration Integration","- Amazon Echo Dot speaker
- Smart switches & phone","- Link smart home app skills to Amazon Alexa
- Write a ""Good Night"" routine for switches
- Calibrate voice commands trigger triggers","[Villa Smart Home Installation]
Activities:
- Switches loops wiring
- HAOS hub installations
- Smart device integrations
Works:
- Wire switch board modules on wall board
- Install HAOS on Pi, integrate switch relay
- Configure Alexa voice routine triggers","TRUE"
"49","W13","Module 4: Smart Home, IoT & Business","Home Assistant","3 Hrs","[x] Slide 1: Title Slide - Home Assistant
[x] Slide 2: Introduction to Home Assistant
[x] Slide 3: Operational Concepts
[x] Slide 4: Hardware and Wiring Schematics
[x] Slide 5: Wireless and RF Coexistence
[x] Slide 6: Software Logic and API Setup
[x] Slide 7: Testing and Inspections
[x] Slide 8: Site Installation Standards
[x] Slide 9: Business and Client Handovers
[x] Slide 10: Lab Work: Home Assistant Integration","- Raspberry Pi 4 (HAOS ready)
- Zigbee sensors & router","- Set up Home Assistant configuration panel
- Integrate Zigbee coordinator dongle
- Write automation (turn on light when motion)","[Villa Smart Home Installation]
Activities:
- Switches loops wiring
- HAOS hub installations
- Smart device integrations
Works:
- Wire switch board modules on wall board
- Install HAOS on Pi, integrate switch relay
- Configure Alexa voice routine triggers","TRUE"
"50","W14","Module 4: Smart Home, IoT & Business","Smart Lighting & Curtain","2 Hrs","[x] Slide 1: Title Slide - Smart Lighting & Curtain
[x] Slide 2: Introduction to Smart Lighting & Curtain
[x] Slide 3: Operational Concepts
[x] Slide 4: Hardware and Wiring Schematics
[x] Slide 5: Wireless and RF Coexistence
[x] Slide 6: Software Logic and API Setup
[x] Slide 7: Testing and Inspections
[x] Slide 8: Site Installation Standards
[x] Slide 9: Business and Client Handovers
[x] Slide 10: Lab Work: Smart Lighting & Curtain Integration","- Smart dimmer module & lamp
- Curtain motor with track spool
- Control panel switch","- Wire smart dimmer module to lamp load
- Set curtain motor physical open/close limits
- Program manual switch override controls","[Villa Smart Home Installation]
Activities:
- Switches loops wiring
- HAOS hub installations
- Smart device integrations
Works:
- Wire switch board modules on wall board
- Install HAOS on Pi, integrate switch relay
- Configure Alexa voice routine triggers","TRUE"
"51","W14","Module 4: Smart Home, IoT & Business","Smart Irrigation & Energy Monitoring","2 Hrs","[x] Slide 1: Title Slide - Smart Irrigation & Energy Monitoring
[x] Slide 2: Introduction to Smart Irrigation & Energy Monitoring
[x] Slide 3: Operational Concepts
[x] Slide 4: Hardware and Wiring Schematics
[x] Slide 5: Wireless and RF Coexistence
[x] Slide 6: Software Logic and API Setup
[x] Slide 7: Testing and Inspections
[x] Slide 8: Site Installation Standards
[x] Slide 9: Business and Client Handovers
[x] Slide 10: Lab Work: Smart Irrigation & Energy Monitoring Integration","- 24VAC water solenoid valve
- Smart current transformer clamp
- Main DB panel board","- Wire water valve to smart switch relay board
- Install current clamp on mains power line
- Verify load metrics display on HA dashboard","[Villa Smart Home Installation]
Activities:
- Switches loops wiring
- HAOS hub installations
- Smart device integrations
Works:
- Wire switch board modules on wall board
- Install HAOS on Pi, integrate switch relay
- Configure Alexa voice routine triggers","TRUE"
"52","W14","Module 4: Smart Home, IoT & Business","Solar CCTV & IoT Fundamentals","2 Hrs","[x] Slide 1: Title Slide - Solar CCTV & IoT Fundamentals
[x] Slide 2: Introduction to Solar CCTV & IoT Fundamentals
[x] Slide 3: Operational Concepts
[x] Slide 4: Hardware and Wiring Schematics
[x] Slide 5: Wireless and RF Coexistence
[x] Slide 6: Software Logic and API Setup
[x] Slide 7: Testing and Inspections
[x] Slide 8: Site Installation Standards
[x] Slide 9: Business and Client Handovers
[x] Slide 10: Lab Work: Solar CCTV & IoT Fundamentals Integration","- Solar panel & MPPT controller
- 12V LiFePO4 battery pack
- 4G LTE SIM router","- Wire solar panel to MPPT charger terminals
- Terminate charger line to LiFePO4 battery
- Configure 4G SIM APN and test failover link","[Villa Smart Home Installation]
Activities:
- Switches loops wiring
- HAOS hub installations
- Smart device integrations
Works:
- Wire switch board modules on wall board
- Install HAOS on Pi, integrate switch relay
- Configure Alexa voice routine triggers

[Troubleshooting Lab]
Activities:
- Bench loop diagnostics
- Multimeter voltage tests
- Fault repair verifications
Works:
- Check Phase-Earth voltage using test lamp
- Find short circuit fault inside junction box
- Resolve induced IP clashes on camera net","TRUE"
"53","W15","Module 4: Smart Home, IoT & Business","Site Survey & BOQ/Quotation","3 Hrs","[x] Slide 1: Title Slide - Site Survey & BOQ/Quotation
[x] Slide 2: Introduction to Site Survey & BOQ/Quotation
[x] Slide 3: Operational Concepts
[x] Slide 4: Hardware and Wiring Schematics
[x] Slide 5: Wireless and RF Coexistence
[x] Slide 6: Software Logic and API Setup
[x] Slide 7: Testing and Inspections
[x] Slide 8: Site Installation Standards
[x] Slide 9: Business and Client Handovers
[x] Slide 10: Lab Work: Site Survey & BOQ/Quotation Integration","- Site survey templates sheets
- Laser distance meter tape
- Laptops with Excel","- Perform physical room site survey measurements
- Map camera node locations on layout sheet
- Generate formal BOQ with hardware margins","","TRUE"
"54","W15","Module 4: Smart Home, IoT & Business","Project Planning & Installation Standards","3 Hrs","[x] Slide 1: Title Slide - Project Planning & Installation Standards
[x] Slide 2: Introduction to Project Planning & Installation Standards
[x] Slide 3: Operational Concepts
[x] Slide 4: Hardware and Wiring Schematics
[x] Slide 5: Wireless and RF Coexistence
[x] Slide 6: Software Logic and API Setup
[x] Slide 7: Testing and Inspections
[x] Slide 8: Site Installation Standards
[x] Slide 9: Business and Client Handovers
[x] Slide 10: Lab Work: Project Planning & Installation Standards Integration","- Wire label printer & markers
- PVC conduit conduits
- Cable binders","- Draw conduit pathways layouts for villa plan
- Print and apply wire tags matching drawings
- Secure cables with velcro straps inside rack","","TRUE"
"55","W15","Module 4: Smart Home, IoT & Business","Testing, Commissioning & AMC","2 Hrs","[x] Slide 1: Title Slide - Testing, Commissioning & AMC
[x] Slide 2: Introduction to Testing, Commissioning & AMC
[x] Slide 3: Operational Concepts
[x] Slide 4: Hardware and Wiring Schematics
[x] Slide 5: Wireless and RF Coexistence
[x] Slide 6: Software Logic and API Setup
[x] Slide 7: Testing and Inspections
[x] Slide 8: Site Installation Standards
[x] Slide 9: Business and Client Handovers
[x] Slide 10: Lab Work: Testing, Commissioning & AMC Integration","- Handover checklists forms
- AMC contract templates","- Complete mock system handover checklist
- Draft comprehensive system AMC proposal
- Conduct client training walkthrough script","","TRUE"
"56","W15","Module 4: Smart Home, IoT & Business","Customer Support & Sales/Negotiation","2 Hrs","[x] Slide 1: Title Slide - Customer Support & Sales/Negotiation
[x] Slide 2: Introduction to Customer Support & Sales/Negotiation
[x] Slide 3: Operational Concepts
[x] Slide 4: Hardware and Wiring Schematics
[x] Slide 5: Wireless and RF Coexistence
[x] Slide 6: Software Logic and API Setup
[x] Slide 7: Testing and Inspections
[x] Slide 8: Site Installation Standards
[x] Slide 9: Business and Client Handovers
[x] Slide 10: Lab Work: Customer Support & Sales/Negotiation Integration","- SLA ticket templates
- Sales script worksheets","- Roleplay client sales negotiations on site
- Design support SLA ticket priority grid
- Practice pitching custom design advantages","","TRUE"
"57","W16","Module 4: Smart Home, IoT & Business","Digital Marketing & Business Automation","2 Hrs","[x] Slide 1: Title Slide - Digital Marketing & Business Automation
[x] Slide 2: Introduction to Digital Marketing & Business Automation
[x] Slide 3: Operational Concepts
[x] Slide 4: Hardware and Wiring Schematics
[x] Slide 5: Wireless and RF Coexistence
[x] Slide 6: Software Logic and API Setup
[x] Slide 7: Testing and Inspections
[x] Slide 8: Site Installation Standards
[x] Slide 9: Business and Client Handovers
[x] Slide 10: Lab Work: Digital Marketing & Business Automation Integration","- PC client & smartphone
- WhatsApp Business profile
- Google Business Profile","- Setup and optimize Google Business Profile
- Create WhatsApp Business product catalogs
- Write automated greeting/away replies templates","","TRUE"
"58","W16","Module 4: Smart Home, IoT & Business","Business Setup & Entrepreneurship","1 Hr","[x] Slide 1: Title Slide - Business Setup & Entrepreneurship
[x] Slide 2: Introduction to Business Setup & Entrepreneurship
[x] Slide 3: Operational Concepts
[x] Slide 4: Hardware and Wiring Schematics
[x] Slide 5: Wireless and RF Coexistence
[x] Slide 6: Software Logic and API Setup
[x] Slide 7: Testing and Inspections
[x] Slide 8: Site Installation Standards
[x] Slide 9: Business and Client Handovers
[x] Slide 10: Lab Work: Business Setup & Entrepreneurship Integration","- Dealer registration forms
- Business plan template","- Complete dealer registration forms
- Calculate project startup costs and cash flow
- Outline tax licensing guidelines (GST/VAT)","","TRUE"
"59","W16","Module 4: Smart Home, IoT & Business","Placement Training & Career Prep","4 Hrs","[x] Slide 1: Title Slide - Placement Training & Career Prep
[x] Slide 2: Introduction to Placement Training & Career Prep
[x] Slide 3: Operational Concepts
[x] Slide 4: Hardware and Wiring Schematics
[x] Slide 5: Wireless and RF Coexistence
[x] Slide 6: Software Logic and API Setup
[x] Slide 7: Testing and Inspections
[x] Slide 8: Site Installation Standards
[x] Slide 9: Business and Client Handovers
[x] Slide 10: Lab Work: Placement Training & Career Prep Integration","- Resume templates sheets
- Job search check list","- Draft professional resume with ELV portfolio
- Setup and optimize LinkedIn career profile
- Conduct mock technical interview sessions","","TRUE"
